====================================================
 WISP-FLOW INVENTORY — FULL CLEANED SPECIMEN LIST
====================================================
Total DB rows fetched : 3402
Unique specimens      : 1447
Total units in stock  : 39,433
----------------------------------------------------
Out of Stock (0)      : 749
Low Stock    (1-19)   : 308
Medium Stock (20-49)  : 176
High Stock   (50+)    : 214
====================================================

#    | Scientific Name                              | Qty   | Condition    | Family
 353 | Coelorhina babauti male                      |    12 | Medium       | Cetonidae
 354 | Coelorhina hornimani                         |    16 | Medium       | Cetonidae
 355 | Colias nastes                                |     0 | Out of Stock | -
 356 | Colobogaster resplendens                     |    10 | Medium       | Buprestidae
 357 | Colobura dirce                               |     0 | Out of Stock | Nymphalidae
 358 | Colotis danae annae (F)                      |     2 | Out of Stock | -
 359 | Colotis euippe                               |    15 | Medium       | -
 360 | Colotis ione                                 |    60 | High         | -
 361 | Colotis regina                               |     9 | Medium       | -
 362 | Colotis zoe                                  |   120 | High         | -
 363 | Coremiocnemis antipodiana                    |    15 | Out of Stock | Theraphosidae
 364 | Coremiocnemis sp                             |     0 | Out of Stock | Theraphosidae
 365 | Coremiocnemis sp.                            |     0 | Out of Stock | Theraphosidae
 366 | Crenis pechueli                              |     0 | Out of Stock | -
 367 | Creobroter gemmatus                          |    20 | Medium       | -
 368 | Creobroter urbanus    female                 |     5 | Medium       | -
 369 | Cressida cressida                            |     7 | Medium       | -
 370 | Cressida insularis                           |     0 | Out of Stock | -
 371 | Cryptotympana acuta                          |     5 | Medium       | -
 372 | Cryptotympana aquila                         |    36 | Medium       | -
 373 | ctenoscelis ater                             |     0 | Out of Stock | Cerambycidae
 374 | Cupha maeonides                              |     0 | Out of Stock | -
 375 | Curetis thelis                               |     0 | Out of Stock | -
 376 | Cyclomnatus imperator                        |    30 | Medium       | Lucanidae
 377 | Cyclomnatus lunifer                          |     0 | Out of Stock | Lucanidae
 378 | Cyclomnatus metalifer                        |    22 | Medium       | Lucanidae
 379 | Cyclomnatus pulchellus                       |     0 | Out of Stock | Lucanidae
 380 | Cyclomnatus zuberi                           |     0 | Out of Stock | Lucanidae
 381 | Cymothoe beckerie                            |     9 | Medium       | Nymphalidae
 382 | Cymothoe coccinata                           |    60 | High         | -
 383 | Cymothoe crocea                              |   200 | High         | -
 384 | Cymothoe divers                              |   270 | High         | -
 385 | Cymothoe exelsa                              |   442 | High         | -
 386 | Cymothoe haynae                              |    40 | Medium       | -
 387 | Cymothoe haynae diphyia                      |    80 | High         | -
 388 | Cymothoe herminia                            |    35 | Medium       | -
 389 | Cymothoe hypatha                             |   145 | Out of Stock | -
 390 | Cymothoe indamora                            |     0 | Out of Stock | -
 391 | Cymothoe reinholdi                           |   100 | High         | -
 392 | Cymothoe sangaris                            |   175 | High         | -
 393 | Cymothoe theobene                            |     0 | Out of Stock | -
